Country,Population,Area,Density
Ukraine,43733762,579320,75
Croatia,4105267,55960,73
Ireland,4937786,68890,72
Ecuador,17643054,248360,71
Lesotho,2142249,30360,71
Guinea-Bissau,1968001,28120,70
Samoa,198414,2830,70
Tajikistan,9537645,139960,68
Eswatini (fmr. "Swaziland"),1160164,17200,67
Tanzania,59734218,885800,67
Mexico,128932753,1943950,66
Bosnia and Herzegovina,3280819,51000,64
Bulgaria,6948445,108560,64
Afghanistan,38928346,652860,60
Panama,4314767,74340,58
Georgia,3989167,69490,57
Cameroon,26545863,472710,56
Yemen,29825964,527970,56
Nicaragua,6624554,120340,55
Guinea,13132795,245720,53
Liberia,5057681,96320,53
Iran,83992949,1628550,52
Equatorial Guinea,1402985,28050,50
Fiji,896445,18270,49
South Africa,59308690,1213090,49
Madagascar,27691018,581795,48
Belarus,9449323,202910,47
Montenegro,628066,13450,47
Colombia,50882891,1109500,46
Djibouti,988000,23180,43
Lithuania,2722289,62674,43
Democratic Republic of the Congo,89561403,2267050,40
Mozambique,31255435,786380,40
Bahamas,393244,10010,39
Palau,18094,460,39
Zimbabwe,14862924,386850,38
United States of America,331002651,9147420,36
Eritrea,3546421,101000,35
Kyrgyzstan,6524195,191800,34
Laos,7275560,230800,32
Venezuela,28435940,882050,32
Estonia,1326535,42390,31
Latvia,1886198,62200,30
Angola,32866272,1246700,26
Chile,19116201,743532,26
Peru,32971854,1280000,26
Brazil,212559417,8358140,25
Solomon Islands,686884,27990,25
Somalia,15893222,627340,25
Sudan,43849260,1765048,25
Sweden,10099265,410340,25
Vanuatu,307145,12190,25
Zambia,18383955,743390,25
Bhutan,771608,38117,20
Papua New Guinea,8947024,452860,20
Uruguay,3473730,175020,20
Niger,24206644,1266700,19
Algeria,43851044,2381740,18
Finland,5540720,303890,18
New Zealand,4822233,263310,18
Paraguay,7132538,397300,18
South Sudan,11193725,610952,18
Argentina,45195774,2736690,17
Belize,397628,22810,17
Mali,20250833,1220190,17
Congo (Congo-Brazzaville),5518087,341500,16
Oman,5106626,309500,16
Saudi Arabia,34813871,2149690,16
Norway,5421241,365268,15
Chad,16425864,1259200,13
Turkmenistan,6031200,469930,13
Bolivia,11673021,1083300,11
Russia,145934462,17098246,9
Central African Republic,4829767,622980,8
Botswana,2351627,566730,4
Canada,37742154,9093510,4
Australia,25499884,7682300,3
Holy See 801,0,2,0
Monaco 39,242,1,26,0
